n_objetivos,problema,indicador,hiperparam_ind_conv,,0.001,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0.999
2,DTLZ1,igd+,IGD+,0.7,5.699348e-02,2.979097e-01,1.558971e-01,3.186131e-02,2.045488e-01,4.491587e-01,5.508413e-01,nan,3.107567e-01,8.247852e-02,3.371115e-01
2,DTLZ1,igd+,IGD+,0.8,1.649914e-01,3.505907e-01,1.305494e-01,2.261877e-01,3.371115e-01,8.772564e-01,7.954512e-01,7.020903e-01,nan,1.471262e-01,5.218353e-01
2,DTLZ1,igd+,IGD+,0.9,5.218353e-01,7.391634e-01,7.738123e-01,4.781647e-01,8.255949e-01,9.175215e-01,9.952822e-01,9.231768e-01,8.613224e-01,nan,9.115734e-01
2,DTLZ1,igd+,IGD+,0.999,1.649914e-01,2.852983e-01,2.374525e-01,1.941881e-01,2.490044e-01,5.795889e-01,7.391634e-01,6.761723e-01,4.927177e-01,9.467411e-02,nan
2,DTLZ1,igd+,R2,0.001,nan,3.107567e-01,3.505907e-01,7.509956e-01,3.238277e-01,8.158617e-01,9.513464e-01,9.903831e-01,6.494093e-01,2.852983e-01,3.505907e-01
2,DTLZ1,igd+,R2,0.1,7.020903e-01,nan,4.061775e-01,7.847834e-01,5.652561e-01,8.058119e-01,9.175215e-01,9.652100e-01,9.587250e-01,5.652561e-01,4.204111e-01
2,DTLZ1,igd+,R2,0.2,6.628885e-01,6.079369e-01,nan,7.391634e-01,2.608366e-01,7.270622e-01,8.441029e-01,9.946556e-01,8.987751e-01,6.628885e-01,7.738123e-01
2,DTLZ1,igd+,R2,0.3,2.608366e-01,2.261877e-01,2.729378e-01,nan,1.152563e-01,5.072823e-01,6.628885e-01,9.053259e-01,6.219168e-01,3.505907e-01,2.045488e-01
2,DTLZ1,igd+,R2,0.4,6.892433e-01,4.491587e-01,7.509956e-01,8.919163e-01,nan,7.625475e-01,9.115734e-01,9.903831e-01,9.473009e-01,7.738123e-01,7.625475e-01
2,DTLZ1,igd+,R2,0.5,1.941881e-01,2.045488e-01,2.852983e-01,5.072823e-01,2.490044e-01,nan,7.847834e-01,8.847437e-01,6.357470e-01,3.371115e-01,3.920631e-01
2,DTLZ1,igd+,R2,0.6,5.269909e-02,8.842659e-02,1.649914e-01,3.505907e-01,9.467411e-02,2.261877e-01,nan,7.270622e-01,3.642530e-01,1.471262e-01,1.227436e-01
2,DTLZ1,igd+,R2,0.7,1.074219e-02,3.792572e-02,6.039619e-03,1.012249e-01,1.074219e-02,1.227436e-01,2.852983e-01,nan,1.941881e-01,3.479004e-02,4.154205e-03
